date,description,amount,type,invoice_ref
2026-07-01,Office Rent - July,-4500.00,expense,
2026-07-01,Client Payment - Acme Corp,15000.00,income,INV-2026-001
2026-07-02,Payroll - Engineering Team,-28000.00,expense,
2026-07-02,AWS Infrastructure - Monthly,-2400.00,expense,
2026-07-03,Client Payment - Beta Solutions,8500.00,income,INV-2026-002
2026-07-03,Google Workspace Subscription,-450.00,expense,
2026-07-04,Figma Enterprise License,-750.00,expense,
2026-07-05,Client Payment - Gamma Inc,12000.00,income,
2026-07-05,Facebook Ads Campaign,-3200.00,expense,
2026-07-06,Payroll - Sales Team,-18000.00,expense,
2026-07-07,HubSpot CRM Subscription,-1200.00,expense,
2026-07-07,Client Payment - Delta Corp,6500.00,income,INV-2026-003
2026-07-08,Facebook Ads Campaign,-3200.00,expense,
2026-07-08,Client Payment - Epsilon Ltd,9200.00,income,INV-2026-004
2026-07-09,Freelancer - UI Design,-4500.00,expense,
2026-07-10,AWS Infrastructure - Emergency Scale,-7800.00,expense,
2026-07-10,Client Payment - Zeta Inc,4800.00,income,INV-2026-005
2026-07-11,Zoom Subscription,-149.00,expense,
2026-07-12,Client Payment - Acme Corp,15000.00,income,INV-2026-001
2026-07-13,Payroll - Engineering Team,-28000.00,expense,
2026-07-14,Office Supplies,-320.00,expense,
2026-07-14,Client Payment - Eta Pvt Ltd,11000.00,income,INV-2026-006
2026-07-15,Slack Subscription,-89.00,expense,
2026-07-15,Client Payment - Theta Corp,7300.00,income,
2026-07-16,Google Ads Campaign,-2800.00,expense,
2026-07-17,Client Payment - Iota LLC,5500.00,income,INV-2026-007
2026-07-18,AWS Infrastructure - Monthly,-2400.00,expense,
2026-07-19,Refund - Beta Solutions,-8500.00,expense,INV-2026-002
2026-07-20,Client Payment - Kappa Inc,19000.00,income,INV-2026-008
2026-07-21,Payroll - Operations Team,-12000.00,expense,
2026-07-21,Notion Subscription,-120.00,expense,
2026-07-22,Client Payment - Lambda Ltd,3400.00,income,INV-2026-009
2026-07-22,LinkedIn Ads,-1500.00,expense,
2026-07-23,Client Payment - Mu Solutions,8800.00,income,INV-2026-010
2026-07-24,Office Rent - July,-4500.00,expense,
2026-07-24,Freelancer - Backend Dev,-6000.00,expense,
2026-07-25,Client Payment - Nu Corp,14000.00,income,INV-2026-011
2026-07-26,Payroll - Engineering Team,-28000.00,expense,
2026-07-26,Client Payment - Xi Pvt Ltd,6200.00,income,
2026-07-27,AWS Infrastructure - Monthly,-2400.00,expense,
2026-07-28,Client Payment - Omicron Ltd,9800.00,income,INV-2026-012
2026-07-28,Twilio SMS Service,-380.00,expense,
2026-07-29,Client Payment - Pi Solutions,7100.00,income,INV-2026-013
2026-07-30,Google Workspace Subscription,-450.00,expense,
2026-07-30,Client Payment - Rho Inc,22000.00,income,INV-2026-014
2026-07-31,Payroll - Sales Team,-18000.00,expense,
2026-07-31,Client Payment - Sigma Corp,5600.00,income,INV-2026-015
2026-08-01,AWS Infrastructure - Spike Recovery,-9200.00,expense,
2026-08-01,Client Payment - Tau Ltd,11500.00,income,INV-2026-016
2026-08-02,Office Rent - August,-4500.00,expense,
2026-08-02,Client Payment - Upsilon Inc,8300.00,income,
2026-08-03,Payroll - Engineering Team,-28000.00,expense,
2026-08-03,Datadog Monitoring,-670.00,expense,
2026-08-04,Client Payment - Phi Corp,16000.00,income,INV-2026-017
2026-08-04,Facebook Ads Campaign,-3200.00,expense,
